[0.004s][info][gc] Using Serial
[59,810s][info][gc] GC(204) Pause Young (Allocation Failure) 1533M->1173M(1979M) 60,884ms
[60,050s][info][gc] GC(205) Pause Young (Allocation Failure) 1654M->1292M(1979M) 58,234ms
[61,215s][info][gc] GC(207) Pause Full (Allocation Failure) 1785M->944M(1979M) 941,545ms
[61,215s][info][gc] GC(206) Pause Young (Allocation Failure) 1785M->944M(1979M) 941,625ms
[61,473s][info][gc] GC(208) Pause Young (Allocation Failure) 1427M->1064M(1979M) 55,994ms
[61,712s][info][gc] GC(209) Pause Young (Allocation Failure) 1549M->1185M(1979M) 59,123ms
[61,934s][info][gc] GC(210) Pause Young (Allocation Failure) 1671M->1306M(1979M) 59,696ms
[63,071s][info][gc] GC(212) Pause Full (Allocation Failure) 1793M->954M(1979M) 945,011ms
[63,071s][info][gc] GC(211) Pause Young (Allocation Failure) 1793M->954M(1979M) 945,094ms
[63,311s][info][gc] GC(213) Pause Young (Allocation Failure) 1447M->1075M(1979M) 57,043ms
[63,544s][info][gc] GC(214) Pause Young (Allocation Failure) 1567M->1197M(1979M) 65,596ms
[64,712s][info][gc] GC(216) Pause Full (Allocation Failure) 1689M->961M(1979M) 961,021ms
[64,712s][info][gc] GC(215) Pause Young (Allocation Failure) 1689M->961M(1979M) 961,078ms
[64,953s][info][gc] GC(217) Pause Young (Allocation Failure) 1454M->1084M(1979M) 55,071ms
[65,188s][info][gc] GC(218) Pause Young (Allocation Failure) 1577M->1206M(1979M) 59,003ms
[66,587s][info][gc] GC(220) Pause Full (Allocation Failure) 1701M->968M(1979M) 1227,742ms
[66,587s][info][gc] GC(219) Pause Young (Allocation Failure) 1701M->968M(1979M) 1227,801ms
[66,867s][info][gc] GC(221) Pause Young (Allocation Failure) 1464M->1092M(1979M) 62,934ms
[67,153s][info][gc] GC(222) Pause Young (Allocation Failure) 1588M->1215M(1979M) 63,977ms
[68,312s][info][gc] GC(224) Pause Full (Allocation Failure) 1713M->975M(1979M) 978,313ms
[68,312s][info][gc] GC(223) Pause Young (Allocation Failure) 1713M->975M(1979M) 978,368ms
[68,561s][info][gc] GC(225) Pause Young (Allocation Failure) 1475M->1100M(1979M) 56,418ms
[68,809s][info][gc] GC(226) Pause Young (Allocation Failure) 1600M->1224M(1979M) 61,428ms
[70,007s][info][gc] GC(228) Pause Full (Allocation Failure) 1726M->983M(1979M) 1019,661ms
[70,007s][info][gc] GC(227) Pause Young (Allocation Failure) 1726M->983M(1979M) 1019,739ms
[70,251s][info][gc] GC(229) Pause Young (Allocation Failure) 1486M->1108M(1979M) 57,615ms
[70,499s][info][gc] GC(230) Pause Young (Allocation Failure) 1612M->1234M(1979M) 67,918ms
[71,675s][info][gc] GC(232) Pause Full (Allocation Failure) 1739M->990M(1979M) 988,643ms
[71,675s][info][gc] GC(231) Pause Young (Allocation Failure) 1739M->990M(1979M) 988,703ms
[71,922s][info][gc] GC(233) Pause Young (Allocation Failure) 1497M->1116M(1979M) 58,468ms
[72,165s][info][gc] GC(234) Pause Young (Allocation Failure) 1624M->1243M(1979M) 60,453ms
[73,351s][info][gc] GC(236) Pause Full (Allocation Failure) 1752M->997M(1979M) 1003,102ms
[73,351s][info][gc] GC(235) Pause Young (Allocation Failure) 1752M->997M(1979M) 1003,200ms
[73,601s][info][gc] GC(237) Pause Young (Allocation Failure) 1508M->1124M(1979M) 57,811ms
[73,850s][info][gc] GC(238) Pause Young (Allocation Failure) 1636M->1252M(1979M) 61,441ms
[75,130s][info][gc] GC(240) Pause Full (Allocation Failure) 1765M->1005M(1979M) 1011,250ms
[75,130s][info][gc] GC(239) Pause Young (Allocation Failure) 1765M->1005M(1979M) 1011,329ms
[75,383s][info][gc] GC(241) Pause Young (Allocation Failure) 1519M->1133M(1979M) 60,043ms
[75,630s][info][gc] GC(242) Pause Young (Allocation Failure) 1648M->1261M(1979M) 63,409ms
[76,834s][info][gc] GC(244) Pause Full (Allocation Failure) 1777M->1012M(1979M) 1015,853ms
[76,834s][info][gc] GC(243) Pause Young (Allocation Failure) 1777M->1012M(1979M) 1015,927ms
[77,085s][info][gc] GC(245) Pause Young (Allocation Failure) 1530M->1141M(1979M) 60,264ms
[77,336s][info][gc] GC(246) Pause Young (Allocation Failure) 1660M->1270M(1979M) 63,953ms
[78,586s][info][gc] GC(248) Pause Full (Allocation Failure) 1790M->1019M(1979M) 1051,543ms
[78,586s][info][gc] GC(247) Pause Young (Allocation Failure) 1790M->1019M(1979M) 1051,690ms
[78,889s][info][gc] GC(249) Pause Young (Allocation Failure) 1541M->1149M(1979M) 75,812ms
[79,127s][info][gc] GC(250) Pause Young (Allocation Failure) 1672M->1279M(1979M) 61,149ms
[80,366s][info][gc] GC(252) Pause Full (Allocation Failure) 1803M->1026M(1979M) 1058,867ms
[80,366s][info][gc] GC(251) Pause Young (Allocation Failure) 1803M->1026M(1979M) 1058,931ms
[80,621s][info][gc] GC(253) Pause Young (Allocation Failure) 1552M->1157M(1979M) 62,511ms
[80,875s][info][gc] GC(254) Pause Young (Allocation Failure) 1683M->1288M(1979M) 62,095ms
[82,076s][info][gc] GC(256) Pause Full (Allocation Failure) 1816M->1034M(1979M) 1016,096ms
[82,076s][info][gc] GC(255) Pause Young (Allocation Failure) 1816M->1034M(1979M) 1016,152ms
[82,333s][info][gc] GC(257) Pause Young (Allocation Failure) 1563M->1166M(1979M) 61,329ms
[83,540s][info][gc] GC(259) Pause Full (Allocation Failure) 1696M->1039M(1979M) 1023,104ms
[83,540s][info][gc] GC(258) Pause Young (Allocation Failure) 1696M->1039M(1979M) 1023,202ms
[83,817s][info][gc] GC(260) Pause Young (Allocation Failure) 1570M->1171M(1979M) 73,068ms
[85,057s][info][gc] GC(262) Pause Full (Allocation Failure) 1703M->1044M(1979M) 1057,649ms
[85,058s][info][gc] GC(261) Pause Young (Allocation Failure) 1703M->1044M(1979M) 1057,707ms
[85,317s][info][gc] GC(263) Pause Young (Allocation Failure) 1577M->1177M(1979M) 57,998ms
[86,586s][info][gc] GC(265) Pause Full (Allocation Failure) 1712M->1048M(1979M) 1083,759ms
[86,586s][info][gc] GC(264) Pause Young (Allocation Failure) 1712M->1048M(1979M) 1083,814ms
[86,846s][info][gc] GC(266) Pause Young (Allocation Failure) 1584M->1182M(1979M) 60,946ms
[88,109s][info][gc] GC(268) Pause Full (Allocation Failure) 1719M->1053M(1979M) 1079,994ms
[88,109s][info][gc] GC(267) Pause Young (Allocation Failure) 1719M->1053M(1979M) 1080,085ms
[88,369s][info][gc] GC(269) Pause Young (Allocation Failure) 1592M->1187M(1979M) 60,357ms
[89,601s][info][gc] GC(271) Pause Full (Allocation Failure) 1727M->1058M(1979M) 1039,919ms
[89,601s][info][gc] GC(270) Pause Young (Allocation Failure) 1727M->1058M(1979M) 1039,977ms
[89,875s][info][gc] GC(272) Pause Young (Allocation Failure) 1599M->1193M(1979M) 62,170ms
[91,109s][info][gc] GC(274) Pause Full (Allocation Failure) 1735M->1063M(1979M) 1042,825ms
[91,109s][info][gc] GC(273) Pause Young (Allocation Failure) 1735M->1063M(1979M) 1042,930ms
[91,369s][info][gc] GC(275) Pause Young (Allocation Failure) 1607M->1199M(1979M) 61,870ms
[92,635s][info][gc] GC(277) Pause Full (Allocation Failure) 1743M->1068M(1979M) 1076,323ms
[92,635s][info][gc] GC(276) Pause Young (Allocation Failure) 1743M->1068M(1979M) 1076,381ms
